,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000169508.6,GPR183,102.0903564,213.3794074,56.66625401,1.658312003,0.362013732,4.580798613,4.63E-06,0.00016951
ENSG00000116044.11,NFE2L2,2073.663327,2557.273703,1876.271337,0.627691118,0.137107006,4.578111191,4.69E-06,0.000171368
ENSG00000154589.2,LY96,55.36805224,84.96293178,43.28850958,1.08613353,0.237343888,4.57620181,4.73E-06,0.000172715
ENSG00000138685.7,FGF2,1249.874312,1693.845926,1068.661408,1.011885886,0.221158657,4.575384485,4.75E-06,0.000172785
ENSG00000157514.12,TSC22D3,4043.961798,5910.823953,3281.977244,0.703852944,0.153837451,4.57530294,4.76E-06,0.000172785
ENSG00000162069.10,CCDC64B,28.97522083,16.10913189,34.22668571,-1.174629543,0.25672501,-4.575438686,4.75E-06,0.000172785
ENSG00000125967.11,NECAB3,1612.529857,1293.419248,1742.779085,-0.54727939,0.119624213,-4.574988421,4.76E-06,0.000172821
ENSG00000255568.2,BRWD1-IT2,17.06500668,12.14494201,19.07319635,-1.007076213,0.220178883,-4.573900101,4.79E-06,0.000173497
ENSG00000113594.5,LIFR,2974.127105,3849.71926,2616.742552,0.817744189,0.178823815,4.572904285,4.81E-06,0.0001741
ENSG00000138722.5,MMRN1,70.36932221,152.5128802,36.84133934,1.741808812,0.380979461,4.571923135,4.83E-06,0.000174692
ENSG00000063660.4,GPC1,5326.678936,3892.705543,5911.974199,-0.627760684,0.137334864,-4.571021994,4.85E-06,0.000175003
ENSG00000167748.6,KLK1,2.95968644,8.07940072,0.870007142,2.136306677,0.467359759,4.571011165,4.85E-06,0.000175003
ENSG00000122592.6,HOXA7,0.574669331,1.834347336,0.060515043,2.255544741,0.493544414,4.570094761,4.88E-06,0.000175545
ENSG00000146373.11,RNF217,536.9171354,688.7716812,474.9356881,0.627442996,0.137343769,4.568412544,4.91E-06,0.000176733
ENSG00000243364.3,EFNA4,38.33027768,53.33489617,32.2059436,1.003298551,0.219633317,4.568061743,4.92E-06,0.000176803
ENSG00000197406.5,DIO3,22.28589283,38.96682801,15.47734786,1.252274952,0.274167002,4.567562621,4.93E-06,0.000176998
ENSG00000182327.7,GLTPD2,77.78348327,51.90012938,88.34811752,-0.851509723,0.186510305,-4.565483505,4.98E-06,0.000178533
ENSG00000204936.4,CD177,45.94383385,103.6539699,22.38867629,1.613525349,0.353634421,4.562693146,5.05E-06,0.000180672
ENSG00000258947.2,TUBB3,355.3913701,190.8784677,422.5394935,-1.016990755,0.222904507,-4.562450385,5.06E-06,0.000180672
ENSG00000227456.2,LINC00310,15.61823698,29.69357189,9.87320232,1.513902651,0.331892822,4.561420293,5.08E-06,0.00018133
ENSG00000204310.6,AGPAT1,2542.482186,2211.111218,2677.735642,-0.361850869,0.07934284,-4.560598904,5.10E-06,0.00018181
ENSG00000153207.10,AHCTF1,1405.022865,1695.880455,1286.305481,0.467805556,0.10258506,4.560172387,5.11E-06,0.000181948
ENSG00000266566.1,AC009994.2,2.758115296,0.594888023,3.641065204,-1.842774313,0.404215911,-4.558886134,5.14E-06,0.000182834
ENSG00000214970.3,CTC-297N7.7,1.235473949,0.09912794,1.699288647,-2.203092363,0.483559997,-4.555985561,5.21E-06,0.000185142
ENSG00000143420.13,ENSA,7475.083603,6584.404235,7838.626201,-0.469618746,0.103089042,-4.555467173,5.23E-06,0.000185365
ENSG00000164039.10,BDH2,936.1835644,1233.352723,814.8900302,0.758263012,0.16654038,4.553028007,5.29E-06,0.000187291
ENSG00000155380.7,SLC16A1,2025.846784,2826.282984,1699.138131,0.949523268,0.208565027,4.552648543,5.30E-06,0.000187393
ENSG00000185591.5,SP1,1173.821437,1444.154524,1063.481401,0.647104796,0.142171493,4.551579088,5.32E-06,0.000188111
ENSG00000173714.7,WFIKKN2,54.12597198,85.01065762,41.51997784,1.301221573,0.285903117,4.551267533,5.33E-06,0.000188154
ENSG00000072210.14,ALDH3A2,2239.919115,2600.587088,2092.707697,0.462951435,0.101739777,4.550348432,5.36E-06,0.000188504
ENSG00000121931.11,LRIF1,566.4089713,721.7458066,503.0061814,0.487721997,0.107178046,4.550577433,5.35E-06,0.000188504
ENSG00000168124.2,OR1F1,11.10093,4.658435528,13.73051958,-1.487891758,0.327114693,-4.54853233,5.40E-06,0.0001899
ENSG00000175906.4,ARL4D,452.0407323,327.5765141,502.8424539,-0.796078439,0.175080837,-4.546919304,5.44E-06,0.000191121
ENSG00000178342.4,KCNG2,31.11955127,20.57226008,35.42456808,-0.95868665,0.210937367,-4.544887733,5.50E-06,0.000192733
ENSG00000079150.13,FKBP7,86.48782078,117.468573,73.84261581,0.700755263,0.154212469,4.544089504,5.52E-06,0.000193223
ENSG00000137218.6,FRS3,917.8938615,758.2808113,983.0420453,-0.425400598,0.093681147,-4.540941365,5.60E-06,0.000195887
ENSG00000153993.9,SEMA3D,162.1007039,229.533162,134.5772516,1.085389579,0.239060075,4.540237761,5.62E-06,0.000196297
ENSG00000145029.7,NICN1,1180.12285,950.9180536,1273.675828,-0.492618798,0.108557155,-4.537874998,5.68E-06,0.000197771
ENSG00000164970.10,FAM219A,4267.139607,3569.547809,4551.870954,-0.406046616,0.089471862,-4.538260494,5.67E-06,0.000197771
ENSG00000182118.5,FAM89A,262.7843287,374.8753892,217.0328754,0.865956648,0.190820291,4.538074243,5.68E-06,0.000197771
ENSG00000150681.5,RGS18,34.08984367,62.30809049,22.57219191,1.487184444,0.327780526,4.537134833,5.70E-06,0.000198221
ENSG00000233639.1,AC018730.1,537.8872698,801.2932782,430.3746133,0.797296763,0.175804308,4.535137808,5.76E-06,0.000199611
ENSG00000261596.1,CTB-31N19.3,18.9335844,29.54218717,14.60354245,0.982728688,0.216691668,4.535147556,5.76E-06,0.000199611
ENSG00000160781.10,PAQR6,8242.626991,4640.299036,9712.964932,-1.084704552,0.239583878,-4.527452179,5.97E-06,0.000206753
ENSG00000104611.7,SH2D4A,42.82584139,55.81276049,37.52505809,0.847523883,0.187210171,4.527125191,5.98E-06,0.000206818
ENSG00000123427.11,METTL21B,100.6578273,126.3924293,90.15390806,0.720490897,0.159184835,4.526127736,6.01E-06,0.000207286
ENSG00000143110.7,C1orf162,338.2572413,415.5182067,306.7221534,0.77681117,0.171626128,4.52618246,6.01E-06,0.000207286
ENSG00000183963.13,SMTN,906.2356938,1371.061183,716.5110045,1.040958083,0.230082588,4.524280145,6.06E-06,0.000208848
ENSG00000164823.5,OSGIN2,1074.302729,1321.943994,973.2246621,0.523928386,0.115832157,4.523168689,6.09E-06,0.000209691
ENSG00000107821.9,KAZALD1,47.97056739,37.12368056,52.39786813,-0.894210136,0.197772027,-4.521418667,6.14E-06,0.000211174
ENSG00000169439.7,SDC2,1695.412903,2394.643609,1410.012615,0.899171785,0.198956802,4.519432238,6.20E-06,0.000212904
ENSG00000134324.7,LPIN1,2766.277393,3054.155354,2648.776184,0.394596501,0.087385762,4.515569708,6.31E-06,0.000216557
ENSG00000107249.17,GLIS3,404.1824138,533.0034663,351.6023924,0.87959699,0.19493998,4.512142597,6.42E-06,0.000219819
ENSG00000182376.2,RP5-1142A6.8,23.48860646,14.32397376,27.22927287,-1.172298499,0.259847799,-4.511481352,6.44E-06,0.000220236
ENSG00000108272.9,DHRS11,766.5305921,549.0654093,855.2918911,-0.637279435,0.141277974,-4.510819475,6.46E-06,0.000220351
ENSG00000166169.12,POLL,748.0113187,620.5999397,800.0159632,-0.392635586,0.087047361,-4.510597219,6.46E-06,0.000220351
ENSG00000268166.1,CTC-471F3.6,79.23886576,95.56165954,72.57650095,0.569868892,0.126339376,4.510619822,6.46E-06,0.000220351
ENSG00000243766.3,HOTTIP,0.315977031,1.0406062,0.020210023,2.237580104,0.496242033,4.509049928,6.51E-06,0.000221695
ENSG00000250090.1,RP13-401N8.3,5.171354936,8.57490179,3.782152138,1.469730457,0.326067915,4.507436613,6.56E-06,0.000223117
ENSG00000102100.10,SLC35A2,425.1637209,363.1190602,450.4880722,-0.322616276,0.071600432,-4.505786723,6.61E-06,0.000224586
ENSG00000198160.10,MIER1,1155.593492,1383.15847,1062.709827,0.432285185,0.095972148,4.504277497,6.66E-06,0.000225914
ENSG00000261005.1,CTB-58E17.1,69.2624109,97.84979016,57.59409283,0.741022639,0.164533033,4.503792503,6.68E-06,0.000226158
ENSG00000204516.5,MICB,36.88005409,51.008582,31.11330801,0.892291169,0.198156174,4.502969309,6.70E-06,0.000226762
ENSG00000147535.12,PPAPDC1B,887.7133923,1014.359813,836.0209759,0.413432513,0.091829125,4.502193736,6.73E-06,0.000227318
ENSG00000140443.9,IGF1R,2164.660479,2433.804055,2054.805959,0.38832822,0.086285696,4.500493579,6.78E-06,0.000228868
ENSG00000250970.1,NA,46.44595649,63.14728194,39.62908895,0.998812341,0.222034816,4.498449204,6.85E-06,0.000230802
ENSG00000090382.2,LYZ,43.87299141,82.96896487,27.91545122,1.527885393,0.339697899,4.497776989,6.87E-06,0.000231255
ENSG00000188176.7,SMTNL2,20.6016107,38.31328382,13.37235637,1.268872308,0.282292553,4.494884103,6.96E-06,0.000234141
ENSG00000105856.8,HBP1,933.6928557,1144.874348,847.4963283,0.539821147,0.120124655,4.493841412,6.99E-06,0.000235009
ENSG00000114631.10,PODXL2,2693.52439,2062.118275,2951.241171,-0.578022345,0.128703212,-4.491126035,7.08E-06,0.000237458
ENSG00000124164.11,VAPB,3776.066002,3253.920559,3989.186591,-0.392469963,0.087386499,-4.491196801,7.08E-06,0.000237458
ENSG00000196735.7,HLA-DQA1,103.4606502,181.589272,71.57141681,1.551314549,0.345452215,4.49067767,7.10E-06,0.000237675
ENSG00000023445.9,BIRC3,160.6352755,238.3446452,128.9171655,0.923095313,0.205637987,4.488933812,7.16E-06,0.000239343
ENSG00000110060.4,PUS3,201.7474795,247.9331059,182.8962034,0.398380272,0.088776191,4.487467509,7.21E-06,0.000240473
ENSG00000171450.4,CDK5R2,2379.00159,1606.290387,2694.393918,-0.889004501,0.198110226,-4.487423578,7.21E-06,0.000240473
ENSG00000242125.1,SNHG3,457.6715664,581.743181,407.0300911,0.521402453,0.116229026,4.485991752,7.26E-06,0.000241807
ENSG00000110400.6,PVRL1,3221.538485,2417.642564,3549.659269,-0.66981028,0.149341233,-4.485099425,7.29E-06,0.000242533
