,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000152467.5,ZSCAN1,135.1514856,86.15288475,155.1509145,-1.089604198,0.14760336,-7.381974209,1.56E-13,1.56E-10
ENSG00000137462.6,TLR2,225.4970707,379.9603302,162.4508423,1.784825495,0.243734154,7.322837043,2.43E-13,2.35E-10
ENSG00000134294.9,SLC38A2,5448.302819,9251.666485,3895.909486,1.312783542,0.179998157,7.293316594,3.02E-13,2.83E-10
ENSG00000240990.5,HOXA11-AS,1.752693576,5.600545193,0.182141896,3.274237465,0.451208006,7.256603206,3.97E-13,3.60E-10
ENSG00000096060.10,FKBP5,1761.453328,2871.434083,1308.399958,1.671613618,0.231180969,7.230757913,4.80E-13,4.22E-10
ENSG00000198417.5,MT1F,1056.780648,2073.240429,641.8991051,1.72970858,0.23986706,7.211113434,5.55E-13,4.72E-10
ENSG00000112175.6,BMP5,78.56077631,241.0564531,12.23601026,3.148977548,0.437231611,7.202081153,5.93E-13,4.90E-10
ENSG00000125772.8,GPCPD1,1758.533512,1058.647366,2044.201326,-1.136133827,0.157850791,-7.197517489,6.13E-13,4.92E-10
ENSG00000126778.6,SIX1,43.87043701,122.7544089,11.67289744,2.659900729,0.370210915,7.184825241,6.73E-13,5.25E-10
ENSG00000100906.6,NFKBIA,1914.357877,3092.374531,1433.534753,1.105039614,0.154079685,7.171870945,7.40E-13,5.62E-10
ENSG00000102362.11,SYTL4,468.8932365,842.4497818,316.4211772,1.877703222,0.262663408,7.148705004,8.76E-13,6.47E-10
ENSG00000003989.12,SLC7A2,1280.579437,2508.422998,779.4187996,1.976235317,0.277039303,7.13341138,9.79E-13,7.05E-10
ENSG00000172296.8,SPTLC3,83.36410554,209.4088297,31.91727936,2.447364553,0.345044564,7.092894093,1.31E-12,9.22E-10
ENSG00000205364.3,MT1M,1326.080866,2493.276197,849.6746085,1.732230484,0.244642991,7.080646286,1.43E-12,9.83E-10
ENSG00000164093.10,PITX2,0.976803415,3.270902228,0.040436553,3.403833161,0.482129109,7.060003425,1.66E-12,1.11E-09
ENSG00000096696.9,DSP,407.5898266,1060.312409,141.1724461,2.349306957,0.333868355,7.036626619,1.97E-12,1.29E-09
ENSG00000115590.9,IL1R2,15.50248561,44.41366091,3.702005894,3.037549435,0.436280576,6.962376055,3.35E-12,2.12E-09
ENSG00000124107.5,SLPI,100.2548838,279.4141925,27.12863542,2.718475059,0.390559548,6.960462418,3.39E-12,2.12E-09
ENSG00000162909.13,CAPN2,3810.049879,5088.311985,3288.310244,0.881802813,0.126863439,6.950803328,3.63E-12,2.22E-09
ENSG00000198743.5,SLC5A3,1323.600678,2150.508514,986.087275,1.220699603,0.178199082,6.850201416,7.37E-12,4.41E-09
ENSG00000163884.3,KLF15,1024.824355,1485.127799,836.9453987,1.238102652,0.183201391,6.758150923,1.40E-11,8.18E-09
ENSG00000163221.7,S100A12,25.10064929,72.22472406,5.866333061,2.961506156,0.438761369,6.74969668,1.48E-11,8.49E-09
ENSG00000168209.4,DDIT4,1528.853789,2565.118074,1105.888774,1.508603482,0.223828024,6.740011633,1.58E-11,8.90E-09
ENSG00000167588.8,GPD1,332.3453455,161.6849547,402.0026479,-1.377029578,0.204996295,-6.717338848,1.85E-11,1.02E-08
ENSG00000142494.9,SLC47A1,322.1832819,690.4349059,171.8764966,1.804953764,0.270159704,6.681062122,2.37E-11,1.27E-08
ENSG00000205929.5,C21orf62,57.71949695,101.4114584,39.88604328,1.864406213,0.27930925,6.675060744,2.47E-11,1.27E-08
ENSG00000243836.1,WDR86-AS1,46.54148181,126.6732762,13.83462696,2.505589819,0.375412016,6.674239803,2.49E-11,1.27E-08
ENSG00000268592.1,RP11-244K5.8,20.61511464,3.272627543,27.6936808,-2.53685319,0.379989323,-6.676117032,2.45E-11,1.27E-08
ENSG00000128714.5,HOXD13,0.675187,2.329395151,0,3.276720878,0.491220436,6.670571166,2.55E-11,1.28E-08
ENSG00000265710.1,AL161772.1,5.013817689,0.198268118,6.979348126,-3.077445026,0.461674564,-6.665831873,2.63E-11,1.30E-08
ENSG00000226673.1,RP11-359N11.2,2.240971965,6.690726679,0.424745551,2.991398788,0.449198932,6.659407606,2.75E-11,1.33E-08
ENSG00000168229.3,PTGDR,46.99994754,126.0211362,14.74640116,2.490280113,0.374259084,6.65389358,2.85E-11,1.36E-08
ENSG00000147606.4,SLC26A7,31.27375282,79.3522207,11.64988838,2.356799944,0.354679196,6.644877879,3.03E-11,1.42E-08
ENSG00000168453.10,HR,1939.285016,1215.999168,2234.503729,-0.985809912,0.148936897,-6.6189771,3.62E-11,1.67E-08
ENSG00000200127.1,Y_RNA,25.22874834,50.16284201,15.05156724,1.934441365,0.293237997,6.5968305,4.20E-11,1.90E-08
ENSG00000111817.11,DSE,268.7571582,395.2325044,217.1345679,1.096716459,0.167242106,6.55765756,5.47E-11,2.44E-08
ENSG00000130600.10,H19,95.10758108,212.5865793,47.15696956,2.121262559,0.323932155,6.548477903,5.81E-11,2.55E-08
ENSG00000112499.7,SLC22A2,25.82996623,81.28278461,3.196162805,3.089318079,0.473663475,6.522179227,6.93E-11,2.99E-08
ENSG00000183072.9,NKX2-5,1.982789706,5.997648513,0.344071825,2.810653254,0.4325475,6.49790659,8.14E-11,3.47E-08
ENSG00000186298.7,PPP1CC,3056.113808,3949.237261,2691.573623,0.561675053,0.086482662,6.494655027,8.32E-11,3.49E-08
ENSG00000069702.6,TGFBR3,677.2147147,1089.399649,508.9759661,1.376141238,0.212997185,6.460842382,1.04E-10,4.30E-08
ENSG00000241781.2,AL161626.1,1167.514015,133.6334033,1589.506101,-2.473518692,0.383301669,-6.453190513,1.10E-10,4.46E-08
ENSG00000125144.9,MT1G,1431.721024,2941.83441,815.3482136,1.748512651,0.273451889,6.394224079,1.61E-10,6.47E-08
ENSG00000112299.7,VNN1,8.979028662,23.14787998,3.195824041,2.423488346,0.379370806,6.38817828,1.68E-10,6.64E-08
ENSG00000092607.9,TBX15,45.01051979,103.0955567,21.30234145,1.985332608,0.310996004,6.383788169,1.73E-10,6.65E-08
ENSG00000138772.8,ANXA3,374.4552177,635.6444839,267.847354,1.244061993,0.194861548,6.384338043,1.72E-10,6.65E-08
ENSG00000131668.9,BARX1,4.281707481,11.15311758,1.477050298,2.27994176,0.357423201,6.378829776,1.78E-10,6.77E-08
ENSG00000112312.5,GMNN,372.1415452,546.7796435,300.8606887,1.044181342,0.163940092,6.369286075,1.90E-10,7.11E-08
ENSG00000115648.9,MLPH,47.13362392,116.2699293,18.91472375,2.119915233,0.333230719,6.361704098,2.00E-10,7.37E-08
ENSG00000022976.11,ZNF839,726.2633744,596.7531344,779.1246968,-0.490741311,0.077284167,-6.349829889,2.16E-10,7.86E-08
ENSG00000111087.5,GLI1,101.8544501,179.6244956,70.11157433,1.644089438,0.25904979,6.346615601,2.20E-10,7.93E-08
ENSG00000205116.3,TMEM88B,213.0569144,40.84682285,283.3467477,-2.188295975,0.345328353,-6.336855801,2.35E-10,8.34E-08
ENSG00000108950.7,FAM20A,130.6379037,312.2717913,56.50162309,2.056156222,0.324881925,6.328933874,2.47E-10,8.67E-08
ENSG00000165474.5,GJB2,151.3756839,372.4695877,61.13327421,2.212002466,0.34992708,6.321324047,2.59E-10,8.99E-08
ENSG00000169715.10,MT1E,2626.905741,4505.679998,1860.059105,1.375869898,0.217992068,6.311559465,2.76E-10,9.46E-08
ENSG00000180447.5,GAS1,258.5069491,515.4117768,153.6478358,1.576617287,0.250761942,6.287306896,3.23E-10,1.09E-07
ENSG00000106511.5,MEOX2,29.07687731,54.57064801,18.67125662,1.586389917,0.252423438,6.284637956,3.29E-10,1.10E-07
ENSG00000142449.8,FBN3,54.76986437,33.06173185,63.63032663,-1.355200415,0.215945004,-6.275673845,3.48E-10,1.15E-07
ENSG00000121083.6,DYNLL2,10139.86191,8138.56891,10956.71619,-0.564365849,0.090416361,-6.241855395,4.32E-10,1.40E-07
ENSG00000261416.1,RP11-455F5.5,25.55864737,14.92034796,29.90081039,-1.319572944,0.211428841,-6.241215425,4.34E-10,1.40E-07
ENSG00000113916.13,BCL6,2765.041094,3771.679099,2354.168439,1.05048139,0.168670857,6.227995818,4.72E-10,1.51E-07
ENSG00000163464.7,CXCR1,8.246224713,22.45254577,2.447726321,2.626736106,0.422458351,6.217739808,5.04E-10,1.59E-07
ENSG00000131650.9,KREMEN2,131.6311336,79.01777846,153.1059724,-1.069255316,0.172095317,-6.21315754,5.19E-10,1.62E-07
ENSG00000264462.1,MIR3648,13.709558,0.594818806,19.06251277,-2.835169846,0.456817281,-6.206354184,5.42E-10,1.67E-07
ENSG00000164761.4,TNFRSF11B,157.6508176,344.9098917,81.21854247,2.176597426,0.35103936,6.200436979,5.63E-10,1.70E-07
ENSG00000167644.7,C19orf33,14.30968289,35.4904558,5.66446945,2.307836593,0.372165277,6.201106701,5.61E-10,1.70E-07
ENSG00000171130.12,ATP6V0E2,7746.875138,6095.180673,8421.036145,-0.628888699,0.101510584,-6.195301731,5.82E-10,1.74E-07
ENSG00000128585.13,MKLN1,3105.86562,4015.998248,2734.382915,0.689564927,0.111372264,6.191531916,5.96E-10,1.76E-07
ENSG00000124491.11,F13A1,321.912213,732.4141139,154.3604167,1.939948914,0.313411839,6.189775468,6.02E-10,1.76E-07
ENSG00000000971.11,CFH,993.5077671,2021.613275,573.8728661,1.752715025,0.283943986,6.172749245,6.71E-10,1.90E-07
ENSG00000110077.10,MS4A6A,237.7032073,459.1892387,147.3007455,2.050830778,0.332230227,6.172920506,6.70E-10,1.90E-07
ENSG00000152049.5,KCNE4,231.0780165,494.407498,123.5965955,1.955961744,0.316790792,6.174301127,6.65E-10,1.90E-07
ENSG00000126804.9,ZBTB1,1075.794644,1372.92174,954.5182788,0.655641615,0.106362366,6.164225582,7.08E-10,1.99E-07
ENSG00000187554.7,TLR5,76.71911416,123.823441,57.49285832,1.31790708,0.214239403,6.151562524,7.67E-10,2.13E-07
ENSG00000165029.11,ABCA1,649.3990953,949.5284118,526.8973335,1.215619278,0.198753906,6.116203206,9.58E-10,2.64E-07
ENSG00000144909.7,OSBPL11,730.2332948,938.6573485,645.1622525,0.828591349,0.135722931,6.105021021,1.03E-09,2.79E-07
ENSG00000173068.13,BNC2,60.7935579,131.8358932,31.79668634,1.987668393,0.325636425,6.103949805,1.03E-09,2.79E-07
ENSG00000101916.11,TLR8,10.23029126,23.24938118,4.916377007,2.27802163,0.373721658,6.095503375,1.09E-09,2.92E-07
ENSG00000257894.1,RP1-78O14.1,11.24836488,31.62206212,2.932570079,2.652951781,0.437789217,6.059883792,1.36E-09,3.61E-07
ENSG00000080546.9,SESN1,2833.73928,3683.28367,2486.986468,0.607857882,0.100390136,6.054956259,1.40E-09,3.69E-07
ENSG00000269337.1,AL591479.1,263.9693605,186.4889884,295.5940022,-0.955517385,0.157922668,-6.050539797,1.44E-09,3.75E-07
ENSG00000169413.2,RNASE6,106.4159119,193.6230864,70.82114684,1.65945075,0.275015983,6.034015668,1.60E-09,4.08E-07
ENSG00000175895.3,PLEKHF2,253.8436995,346.7717441,215.9138853,0.821858507,0.136191135,6.034596189,1.59E-09,4.08E-07
ENSG00000145390.7,USP53,729.798368,1110.488086,574.4148098,1.015994841,0.168451046,6.031395272,1.63E-09,4.11E-07
ENSG00000173566.9,NUDT18,245.4627967,176.6255226,273.5596432,-0.857520654,0.142347377,-6.024140874,1.70E-09,4.21E-07
ENSG00000183748.4,MRC1L1,26.32207635,65.03475263,10.520984,2.060827064,0.34203387,6.025213423,1.69E-09,4.21E-07
ENSG00000268996.1,AL807752.1,18.314338,7.089307943,22.89598291,-1.767392535,0.293430382,-6.023209062,1.71E-09,4.21E-07
ENSG00000137198.5,GMPR,449.5829364,647.7277514,368.7075017,1.385457366,0.230617506,6.007598414,1.88E-09,4.60E-07
ENSG00000184302.6,SIX6,1.738226925,5.303261867,0.283110623,2.789301642,0.464500094,6.00495388,1.91E-09,4.63E-07
ENSG00000116962.10,NID1,309.5817246,573.3106251,201.9372754,1.50066342,0.249973453,6.003291165,1.93E-09,4.64E-07
ENSG00000236753.1,AC018642.1,90.80671603,127.9236257,75.65695697,0.764269465,0.12733696,6.001945257,1.95E-09,4.64E-07
ENSG00000130748.6,TMEM160,740.2940513,360.9181837,895.1413442,-1.393349542,0.232461408,-5.993896152,2.05E-09,4.80E-07
ENSG00000214353.3,VAC14-AS1,324.5849347,467.3168446,266.3270123,1.27323887,0.212397789,5.994595697,2.04E-09,4.80E-07
ENSG00000198876.8,DCAF12,655.7961294,788.520837,601.6227794,0.490283056,0.081875043,5.988186863,2.12E-09,4.93E-07
ENSG00000187193.8,MT1X,1593.488078,2627.981572,1171.245835,1.514012511,0.252948445,5.985458855,2.16E-09,4.97E-07
ENSG00000057294.9,PKP2,228.8103512,452.3930099,137.5521232,1.536277299,0.256751521,5.98351781,2.18E-09,4.99E-07
ENSG00000168079.12,SCARA5,124.1051185,313.3325335,46.86943891,2.052599156,0.343194776,5.980857805,2.22E-09,5.03E-07
ENSG00000165030.3,NFIL3,503.5614261,771.0834854,394.3687489,0.958911718,0.160479032,5.975308457,2.30E-09,5.16E-07
ENSG00000103995.9,CEP152,116.764433,151.2698065,102.6806071,0.846980606,0.141964961,5.966124316,2.43E-09,5.42E-07
ENSG00000069869.11,NEDD4,148.6535392,221.1536219,119.0616687,1.065075914,0.178822486,5.956051389,2.58E-09,5.62E-07
ENSG00000104524.9,PYCRL,497.4953927,344.6698071,559.8731828,-0.873356986,0.146693036,-5.9536363,2.62E-09,5.62E-07
ENSG00000145685.9,LHFPL2,646.9647987,936.7999298,528.6647452,0.950725498,0.159652664,5.954961682,2.60E-09,5.62E-07
ENSG00000203952.5,CCDC160,67.25797275,98.03706849,54.69507653,0.992963831,0.166719783,5.955884838,2.59E-09,5.62E-07
ENSG00000270164.1,AC006129.4,42.65796666,77.43620527,28.46276723,1.673574121,0.281054135,5.954632612,2.61E-09,5.62E-07
ENSG00000164707.10,SLC13A4,304.2380348,725.9099229,132.12706,2.047603414,0.344158449,5.949595068,2.69E-09,5.72E-07
ENSG00000187134.8,AKR1C1,429.2168096,665.9636907,332.5854295,1.03540829,0.174174137,5.944673019,2.77E-09,5.85E-07
ENSG00000182885.12,GPR97,9.123022763,18.78717631,5.178470294,2.042069112,0.343785474,5.939951697,2.85E-09,5.98E-07
ENSG00000259040.2,BLOC1S5-TXNDC5,38.17262551,86.94710177,18.26467601,1.902473817,0.320724978,5.93179187,3.00E-09,6.23E-07
ENSG00000179593.11,ALOX15B,80.94474355,147.7536303,53.67581018,1.50154789,0.253385698,5.925937812,3.11E-09,6.41E-07
ENSG00000127993.10,RBM48,1222.7644,1626.560498,1057.949666,0.780886249,0.131932347,5.91883844,3.24E-09,6.60E-07
ENSG00000166527.3,CLEC4D,1.810425687,5.30419028,0.384399322,2.671444547,0.451332451,5.91901721,3.24E-09,6.60E-07
ENSG00000105467.4,SYNGR4,5.486452616,1.833328612,6.977523638,-2.050195198,0.347211353,-5.904747014,3.53E-09,7.14E-07
ENSG00000155324.5,GRAMD3,2168.431496,3068.407994,1801.09415,1.11216087,0.188628532,5.896037342,3.72E-09,7.47E-07
ENSG00000119950.16,MXI1,4245.350483,5336.376157,3800.033881,0.610427668,0.103624607,5.890759773,3.84E-09,7.66E-07
ENSG00000101460.8,MAP1LC3A,3047.364422,2272.782982,3363.520112,-0.728623721,0.123920975,-5.879744919,4.11E-09,8.07E-07
ENSG00000149809.10,TM7SF2,1241.905027,862.0580098,1396.944626,-0.789931741,0.134327336,-5.880647709,4.09E-09,8.07E-07
ENSG00000106682.10,EIF4H,9675.515238,8499.324232,10155.5932,-0.326800418,0.055624484,-5.875118248,4.23E-09,8.24E-07
ENSG00000260645.1,RP11-250B2.5,79.4249055,100.2661656,70.91826872,0.896573591,0.152631769,5.874095524,4.25E-09,8.24E-07
ENSG00000269028.2,MTRNR2L12,12.79056451,0.297518743,17.88976686,-2.84112543,0.483922642,-5.871032238,4.33E-09,8.33E-07
ENSG00000148498.11,PARD3,522.7464431,759.2322938,426.2216061,1.159940379,0.19764569,5.86878661,4.39E-09,8.34E-07
ENSG00000205632.2,WI2-81516E3.1,54.1105613,22.8988583,66.85003192,-1.592209178,0.271309789,-5.868602021,4.39E-09,8.34E-07
ENSG00000028310.13,BRD9,1191.11595,918.4417855,1302.411527,-0.562316806,0.095898403,-5.863672265,4.53E-09,8.42E-07
ENSG00000162241.8,SLC25A45,287.3397995,192.4284456,326.0791276,-0.855034103,0.145788309,-5.864901707,4.49E-09,8.42E-07
ENSG00000166535.15,A2ML1,194.9623924,298.3896112,152.7472011,1.291009461,0.220151417,5.86418873,4.51E-09,8.42E-07
ENSG00000170545.12,SMAGP,42.63599951,73.50498727,30.03641266,1.144064061,0.195577901,5.849659151,4.93E-09,9.10E-07
ENSG00000143226.8,FCGR2A,284.3967871,460.2282234,212.628854,1.677448736,0.287396077,5.836714097,5.32E-09,9.77E-07
ENSG00000067048.12,DDX3Y,2504.170125,3335.068679,2165.027858,0.714764205,0.122667766,5.826829907,5.65E-09,1.03E-06
ENSG00000163093.7,BBS5,585.6822517,453.7882024,639.5165575,-0.464041282,0.079654489,-5.825676465,5.69E-09,1.03E-06
ENSG00000255986.2,MT1JP,16.79430395,36.72650539,8.658711525,2.162273911,0.37145739,5.821055029,5.85E-09,1.05E-06
ENSG00000125459.9,MSTO1,383.6535198,294.8713567,419.8911374,-0.620838818,0.106691819,-5.818991791,5.92E-09,1.06E-06
ENSG00000145907.10,G3BP1,2214.900531,2734.837231,2002.681469,0.559962105,0.096323891,5.813325216,6.12E-09,1.09E-06
ENSG00000123094.11,RASSF8,948.290418,1311.790559,799.9230134,0.87382294,0.150582689,5.802944198,6.52E-09,1.15E-06
ENSG00000125733.13,TRIP10,408.6686458,655.6918654,307.8428419,1.17575498,0.202630515,5.802457642,6.53E-09,1.15E-06
ENSG00000186918.9,ZNF395,988.6607716,1180.560975,910.3341581,0.49242523,0.084914862,5.799046487,6.67E-09,1.16E-06
ENSG00000167244.12,IGF2,560.8113091,1411.106602,213.7520059,2.052530524,0.354746313,5.785910808,7.21E-09,1.25E-06
ENSG00000113328.14,CCNG1,1237.111687,1595.792225,1090.711468,0.632548718,0.109352746,5.784479505,7.27E-09,1.25E-06
ENSG00000124440.11,HIF3A,1650.064739,2397.000643,1345.192942,1.432022698,0.247605935,5.783474846,7.32E-09,1.25E-06
ENSG00000205358.3,MT1H,104.736883,253.5913238,43.97996839,2.002300481,0.346575606,5.777384344,7.59E-09,1.29E-06
ENSG00000128713.11,HOXD11,0.502686304,1.73426775,0,2.850040203,0.493772862,5.771966066,7.84E-09,1.33E-06
ENSG00000115825.5,PRKD3,662.2099897,904.3594662,563.3734687,0.804764209,0.139566036,5.766189481,8.11E-09,1.36E-06
ENSG00000245848.2,CEBPA,9.323210856,1.437705173,12.5417846,-2.339547408,0.405918502,-5.763588987,8.23E-09,1.38E-06
ENSG00000116678.14,LEPR,559.6202703,1057.212295,356.5214846,1.404820552,0.244322923,5.749851597,8.93E-09,1.48E-06
ENSG00000055208.12,TAB2,2052.249507,2566.245154,1842.455365,0.647701852,0.112731254,5.745539334,9.16E-09,1.51E-06
ENSG00000135378.3,PRRG4,31.54724024,54.91688212,22.0086109,1.444474119,0.251778848,5.737074939,9.63E-09,1.58E-06
ENSG00000136872.12,ALDOB,52.75072908,79.99517435,41.63054734,1.161616527,0.202538493,5.735287693,9.73E-09,1.59E-06
ENSG00000119729.6,RHOQ,2533.718858,3247.1324,2242.529658,0.661995375,0.115484973,5.732307471,9.91E-09,1.61E-06
ENSG00000178573.6,MAF,1486.986213,2172.245492,1207.288549,0.827600973,0.144484407,5.727960491,1.02E-08,1.64E-06
ENSG00000125122.10,LRRC29,127.4318972,93.78722821,141.1644152,-0.83218577,0.145335165,-5.725976698,1.03E-08,1.65E-06
ENSG00000083223.13,ZCCHC6,491.086409,614.4360452,440.7396186,0.541759452,0.094647906,5.72394548,1.04E-08,1.66E-06
ENSG00000101347.7,SAMHD1,1352.410716,1710.116627,1206.408303,0.671379299,0.117315043,5.722874743,1.05E-08,1.66E-06
ENSG00000155926.9,SLA,256.9425237,374.7401384,208.8618646,1.141277526,0.199700171,5.714955177,1.10E-08,1.73E-06
ENSG00000153404.9,PLEKHG4B,35.36820862,65.1267559,23.22186279,1.65135143,0.289600637,5.702167802,1.18E-08,1.86E-06
ENSG00000142973.8,CYP4B1,29.06343326,65.67014204,14.12191946,2.015968801,0.353717619,5.699373433,1.20E-08,1.88E-06
ENSG00000076248.6,UNG,896.7498127,1162.392266,788.3243216,0.720851642,0.126709543,5.689008285,1.28E-08,1.98E-06
ENSG00000101342.5,TLDC2,37.82480583,49.80816602,32.93363841,1.019597928,0.179291399,5.686820081,1.29E-08,2.00E-06
ENSG00000140181.10,HERC2P2,7623.907967,11505.51233,6039.579657,0.94413719,0.166082737,5.684740064,1.31E-08,2.01E-06
ENSG00000131242.11,RAB11FIP4,7431.468531,5506.081919,8217.340618,-0.706096101,0.124229722,-5.683793598,1.32E-08,2.01E-06
ENSG00000149452.11,SLC22A8,46.84594102,134.2128481,11.18597896,2.557081178,0.450151795,5.680486468,1.34E-08,2.04E-06
ENSG00000253753.1,AC145123.2,12.39889264,4.56070949,15.59815107,-1.946509277,0.342710994,-5.679739821,1.35E-08,2.04E-06
ENSG00000224888.3,RP5-1142A6.2,69.79178717,43.22199419,80.63660063,-1.161744721,0.204600298,-5.678118434,1.36E-08,2.05E-06
ENSG00000117280.8,RAB7L1,817.2254875,1051.540485,721.5867128,0.68826305,0.121402505,5.669265628,1.43E-08,2.14E-06
ENSG00000125148.6,MT2A,3905.409694,6332.264917,2914.856542,1.290149373,0.227601321,5.668461699,1.44E-08,2.14E-06
ENSG00000121966.6,CXCR4,248.0649097,462.6540538,160.4775039,1.442847511,0.254710977,5.66464598,1.47E-08,2.18E-06
ENSG00000159873.5,CCDC117,838.0191522,1098.361689,731.7568924,0.568549757,0.100514168,5.656414129,1.55E-08,2.27E-06
ENSG00000114638.3,UPK1B,12.36792843,34.98904389,3.134820073,2.615018454,0.462572065,5.653213093,1.57E-08,2.30E-06
ENSG00000264063.1,MIR3687,8.419617202,0.049573113,11.83596173,-2.77288649,0.490736108,-5.650463544,1.60E-08,2.33E-06
ENSG00000225556.1,C2CD4D,41.18427762,18.93636612,50.26505783,-1.211442169,0.214616317,-5.644688095,1.65E-08,2.38E-06
ENSG00000234409.3,AC006547.14,80.93217264,39.16071636,97.98174663,-1.449097922,0.256710151,-5.644879712,1.65E-08,2.38E-06
ENSG00000244479.2,RP4-798C17.6,12.12471415,23.79237066,7.362405375,1.579363846,0.280125089,5.638066384,1.72E-08,2.46E-06
ENSG00000136436.9,CALCOCO2,1935.505728,2319.381132,1778.82189,0.557797714,0.098998967,5.634379117,1.76E-08,2.50E-06
ENSG00000037042.8,TUBG2,3733.792573,2868.47208,4086.98461,-0.584440138,0.103869318,-5.626686959,1.84E-08,2.58E-06
ENSG00000123364.3,HOXC13,0.531387142,1.783701321,0.020238497,2.78096572,0.494189065,5.627331555,1.83E-08,2.58E-06
ENSG00000189266.7,PNRC2,2444.739565,3052.195504,2196.798366,0.473708802,0.084192865,5.626472069,1.84E-08,2.58E-06
ENSG00000214300.6,SPDYE3,228.1054842,176.4095857,249.2058509,-0.727731255,0.12936228,-5.625528982,1.85E-08,2.58E-06
ENSG00000011465.12,DCN,1857.288662,3664.646098,1119.591749,1.394114745,0.247994198,5.621561947,1.89E-08,2.63E-06
ENSG00000134575.5,ACP2,956.9689258,742.6235913,1044.456817,-0.610460299,0.108630043,-5.619626761,1.91E-08,2.65E-06
ENSG00000101306.6,MYLK2,42.98410044,26.5694491,49.68395814,-1.229449073,0.218830903,-5.618260745,1.93E-08,2.66E-06
ENSG00000153162.8,BMP6,164.3930963,300.8217974,108.7079122,1.40106647,0.24955006,5.614370404,1.97E-08,2.69E-06
ENSG00000167747.9,C19orf48,258.5171658,183.6641038,289.069436,-0.825068923,0.146975833,-5.613636664,1.98E-08,2.69E-06
ENSG00000178947.7,LINC00086,1812.460172,1271.292516,2033.34493,-0.876438587,0.156092047,-5.614883036,1.97E-08,2.69E-06
ENSG00000260027.2,HOXB7,3.304245455,7.880721399,1.43629609,2.346913783,0.418206906,5.61184846,2.00E-08,2.70E-06
ENSG00000077942.13,FBLN1,633.8468139,997.5908076,485.3798777,1.147933692,0.204654552,5.609128557,2.03E-08,2.71E-06
ENSG00000149573.3,MPZL2,156.5289589,345.3536545,79.45765457,1.991242646,0.355008821,5.608994837,2.04E-08,2.71E-06
ENSG00000187079.10,TEAD1,1279.300045,1599.721893,1148.515617,0.748539301,0.133421923,5.610317149,2.02E-08,2.71E-06
ENSG00000164188.4,RANBP3L,1286.211523,2326.391117,861.6484226,1.532951301,0.273360932,5.607792195,2.05E-08,2.71E-06
ENSG00000144445.11,KANSL1L,1109.464877,1377.583956,1000.028518,0.549153458,0.098133351,5.595992093,2.19E-08,2.89E-06
ENSG00000197579.3,TOPORS,647.2049654,813.2460697,579.4330861,0.541335269,0.096773697,5.593826499,2.22E-08,2.92E-06
ENSG00000078399.11,HOXA9,0.818938684,2.626952888,0.080973702,2.713396797,0.486026027,5.582822002,2.37E-08,3.05E-06
ENSG00000152952.7,PLOD2,910.7406523,1261.050038,767.7572295,0.916558834,0.164121684,5.58462971,2.34E-08,3.05E-06
ENSG00000163220.10,S100A9,337.9771631,776.4199192,159.0209361,2.22309826,0.398140415,5.583704084,2.35E-08,3.05E-06
ENSG00000231768.1,RP5-855F14.1,144.2073447,239.5887946,105.2761407,1.455990924,0.260751075,5.583834789,2.35E-08,3.05E-06
ENSG00000261040.2,CTD-2319I12.1,16.73643082,48.17651894,3.903741791,2.518743806,0.451209536,5.58220429,2.37E-08,3.05E-06
ENSG00000081692.8,JMJD4,328.3611192,272.3790543,351.2109416,-0.547406074,0.098110246,-5.579499575,2.41E-08,3.08E-06
ENSG00000180353.6,HCLS1,431.2819212,626.6719814,351.5308762,1.401308693,0.251218698,5.578042961,2.43E-08,3.09E-06
ENSG00000147168.8,IL2RG,24.73903198,41.2903859,17.98337732,1.237585962,0.222338882,5.56621473,2.60E-08,3.28E-06
ENSG00000155659.9,VSIG4,358.964723,589.9189284,264.6977004,1.931996279,0.347100708,5.566097195,2.61E-08,3.28E-06
ENSG00000101187.11,SLCO4A1,1124.232154,1848.839975,828.4738592,1.474790456,0.265509839,5.55456046,2.78E-08,3.47E-06
ENSG00000116353.11,MECR,769.9359679,620.5976497,830.8903835,-0.581978479,0.104772697,-5.554676879,2.78E-08,3.47E-06
ENSG00000140832.5,MARVELD3,18.17158089,34.94146308,11.32673102,1.709785408,0.30815567,5.54844701,2.88E-08,3.58E-06
ENSG00000164117.8,FBXO8,434.0231959,556.5735145,384.0026576,0.637258342,0.114957674,5.543417136,2.97E-08,3.67E-06
ENSG00000172716.12,SLFN11,238.9642597,380.8059706,181.0696838,1.07477681,0.193935525,5.541928477,2.99E-08,3.69E-06
ENSG00000166292.7,TMEM100,153.603811,274.0343628,104.4484837,1.259085619,0.2273056,5.539175539,3.04E-08,3.73E-06
ENSG00000257069.1,RP11-783K16.10,18.83542476,10.36012794,22.29472958,-1.206505307,0.218065003,-5.532778247,3.15E-08,3.85E-06
ENSG00000102554.9,KLF5,210.51788,385.1697459,139.231404,1.408872052,0.254678613,5.531960587,3.17E-08,3.85E-06
ENSG00000176472.6,ZNF575,163.4268258,114.0094095,183.5971998,-0.699811092,0.12667437,-5.524488438,3.30E-08,4.00E-06
ENSG00000185112.4,FAM43A,345.7755077,478.8630906,291.4540453,0.747116497,0.13529039,5.52231758,3.35E-08,4.03E-06
